Identifier,name,parent,value
Full_time_30_plus_hours,Full_time_30_plus_hours,,
Full_time_30_plus_hours,Very worried,Full_time_30_plus_hours,15.72
Full_time_30_plus_hours,Fairly worried,Full_time_30_plus_hours,28.04
Full_time_30_plus_hours,Not very worried,Full_time_30_plus_hours,40.35
Full_time_30_plus_hours,Not at all worried,Full_time_30_plus_hours,52.66
Full_time_30_plus_hours,Dont know,Full_time_30_plus_hours,64.97
Full_time_student,Full_time_student,,
Full_time_student,Very worried,Full_time_student,21.67
Full_time_student,Fairly worried,Full_time_student,30.68
Full_time_student,Not very worried,Full_time_student,39.69
Full_time_student,Not at all worried,Full_time_student,48.70
Full_time_student,Dont know,Full_time_student,57.71
Part_time_less_than_30_hours,Part_time_less_than_30_hours,,
Part_time_less_than_30_hours,Very worried,Part_time_less_than_30_hours,13.30
Part_time_less_than_30_hours,Fairly worried,Part_time_less_than_30_hours,29.40
Part_time_less_than_30_hours,Not very worried,Part_time_less_than_30_hours,45.49
Part_time_less_than_30_hours,Not at all worried,Part_time_less_than_30_hours,61.59
Part_time_less_than_30_hours,Dont know,Part_time_less_than_30_hours,77.68
Retired,Retired,,
Retired,Very worried,Retired,5.95
Retired,Fairly worried,Retired,12.33
Retired,Not very worried,Retired,18.70
Retired,Not at all worried,Retired,25.08
Retired,Dont know,Retired,31.46
Unemployed_or_not_working,Unemployed_or_not_working,,
Unemployed_or_not_working,Very worried,Unemployed_or_not_working,18.68
Unemployed_or_not_working,Fairly worried,Unemployed_or_not_working,22.62
Unemployed_or_not_working,Not very worried,Unemployed_or_not_working,26.57
Unemployed_or_not_working,Not at all worried,Unemployed_or_not_working,30.51
Unemployed_or_not_working,Dont know,Unemployed_or_not_working,34.45
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
